Ed Helms;The Hangover Part II; true
Eddie Albert;Roman Holiday; true
Eddie Collins;Snow White and the Seven Dwarfs; true
Eddie Deezen;The Polar Express; true
Eddie Fisher;BUtterfield 8; true
Eddie Izzard;Cars 2; true
Eddie Marsan;Sherlock Holmes; true
Eddie Marsan;Hancock; true
Eddie Murphy;Shrek Forever After; true
Eddie Murphy;Beverly Hills Cop II; true
Eddie Murphy;Doctor Dolittle; true
Eddie Murphy;Beverly Hills Cop; true
Eddie Murphy;Dreamgirls; true
Eddie Murphy;Shrek the Third; true
Eddie Murphy;Shrek 2; true
Eddie Murphy;Shrek; true
Eddie Quillan;Mutiny on the Bounty; true
Edith Evans;Tom Jones; true
Edmond OBrien;Double Life, A; true
Edmond OBrien;Barefoot Contessa, The; true
Edmund Gwenn;Miracle on 34th Street; true
